gene_name	S1_control	S1_t	S2_control	S2_t	S3_control	S3_t
ENSG00000309113	0.901349033	0	0	0	0	0
ENSG00000309115	0.450674517	0	0.499007941	0	1.458376958	0
ENSG00000309117	0	0	0	0	0	0
ENSG00000309129	0.450674517	0	0	0	0	1.100938979
ENSG00000309134	0.901349033	10.02772991	2.495039704	4.805830522	0.729188479	3.302816938
ENSG00000309135	0.450674517	0	0	0	0	0
ENSG00000309148	0	0	0.998015882	0	0.729188479	1.100938979
ENSG00000309149	0.901349033	0	0	0	0	2.201877959
ENSG00000309154	0	0	0.998015882	2.402915261	0	2.201877959
ENSG00000309161	3.154721616	78.21629329	9.980158815	84.10203413	17.5005235	22.01877959
ENSG00000309168	5.408094199	200.5545982	10.47916676	67.28162731	15.31295806	14.31220673
ENSG00000309174	5.858768715	0	0.998015882	7.208745783	8.02107327	2.201877959
ENSG00000309183	1.35202355	0	0	2.402915261	0	1.100938979
ENSG00000309197	0.901349033	20.05545982	2.495039704	21.62623735	10.93782719	14.31220673
ENSG00000309202	2.253372583	6.016637945	0	14.41749157	5.833507833	1.100938979
ENSG00000309226	2.704047099	0	0.998015882	4.805830522	4.375130875	6.605633876
ENSG00000309227	0.901349033	28.07764374	1.497023822	19.22332209	6.562696312	3.302816938
ENSG00000309229	0	0	0.499007941	4.805830522	1.458376958	0
ENSG00000309246	0	18.04991384	1.996031763	9.611661044	1.458376958	2.201877959
ENSG00000309247	0.901349033	14.03882187	0.499007941	4.805830522	2.187565437	1.100938979
ENSG00000309250	0	12.03327589	0	0	0	0
ENSG00000309252	0.901349033	6.016637945	1.497023822	4.805830522	2.187565437	2.201877959
ENSG00000309254	0.450674517	4.011091963	0	0	0	1.100938979
ENSG00000309270	13.06956098	20.05545982	0	0	0	0
ENSG00000309281	0.901349033	2.005545982	1.497023822	0	2.187565437	4.403755917
ENSG00000309294	3.154721616	2.005545982	0.998015882	4.805830522	0.729188479	3.302816938
ENSG00000309304	1.35202355	0	0.499007941	0	0	0
ENSG00000309309	0	32.08873571	0.998015882	4.805830522	0	1.100938979
ENSG00000309324	4.056070649	6.016637945	0	0	2.187565437	2.201877959
ENSG00000309328	0.901349033	0	0	2.402915261	0	0
ENSG00000309344	0	0	0	0	0	0
ENSG00000309346	0	2.005545982	0.499007941	2.402915261	0.729188479	0
ENSG00000309351	2.704047099	0	0.499007941	0	0.729188479	0
