"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GNB2",96.0190770650445,-0.7074187946616,0.484917322166244,0.0881809112762529,0.256018579072054
"GNB3",2.92244703308239,0.0050785867910136,0.896893269739862,0.986437589677133,NA
"GNB4",88.2585224078895,0.0340155077140738,0.533106623751252,0.938174149154188,0.964697412020059
"GNB5",99.5718958281357,-0.309892207789237,0.453989585597555,0.435103397573167,0.627136767046227
"GNE",55.4818489518249,-0.738631045022399,0.548790470665785,0.097160059470537,0.270524445389289
"GNG10",38.4121164068802,-0.84898126331254,0.621165745533237,0.0692965377911487,0.223011048701052
"GNG11",97.6423847119022,-1.07134161490677,0.57771476195893,0.0188607111794859,0.111842431091168
"GNG12",35.9224604053646,-0.268719039179533,0.763523183898137,0.55038862718245,0.710592669493769
"GNG2",88.267948743887,-0.297472858202829,0.523999361531701,0.493590107942072,0.671477136137775
"GNG4",23.7821592059015,0.504743268874188,0.703716434395244,0.282098499064467,0.494328321472023
"GNG5",52.0626238125173,-0.567738523516069,0.540962468687136,0.198976907045496,0.405773915148241
"GNG7",164.712009217891,0.077922195514594,0.43280927631802,0.839097603876506,0.905704016280559
"GNG8",0.644406062282749,-0.0911181790143946,0.927177890782649,0.674931272800084,NA
"GNGT2",7.18260325417295,-0.21197826788438,0.803891842712664,0.617579356240045,NA
"GNL1",131.572076254991,-0.80992979043792,0.48432419720431,0.0507309642196947,0.187653437155954
"GNL2",89.8042713524194,-0.8539725506733,0.487820244501543,0.0403058115348907,0.166105608429486
"GNL3",185.948502525003,-1.16645406567328,0.414860773256372,0.0016915087402857,0.0394427872715123
"GNL3L",145.644690423603,0.0416178203121621,0.432761810341963,0.913634498392097,0.949441019834515
"GNL3LP1",1.95111254136715,-0.146010084262191,0.897228601388843,0.626199230914227,NA
"GNLY",10.588909189378,-0.0270184370840611,0.769103615738316,0.951719773087166,0.973346779949003
"GNMT",0.491995078294025,0.0124196297210501,0.927510546600805,0.953905969928292,NA
"GNPAT",64.0822185271167,-0.441445071635681,0.512025719199274,0.303353958370758,0.513662976177366
"GNPATP",4.54861999766188,0.785047292538299,0.894061057514276,0.0243466680200873,NA
"GNPDA1",109.723511543807,-0.487297355255569,0.468772520501618,0.229834070358588,0.442082759132193
"GNPDA2",40.2413944471429,-0.0386379519936865,0.55939417343391,0.931432324845297,0.960827534762736
"GNPNAT1",60.9125554026844,-0.615868437075753,0.556298968210271,0.169345078667072,0.37310917997091
"GNPTAB",115.372374599708,-0.440740904783621,0.463520634017213,0.273809551377897,0.487178325793381
"GNPTG",56.9260383554621,-0.297448549930982,0.520565971900733,0.492047366156968,0.670683456100963
"GNRH1",3.0389949085812,-0.435849460104007,0.892459772205897,0.175934716591178,NA
"GNRHR",4.2218749098758,0.576194237410176,0.855837626540722,0.132829257424672,NA
"GNRHR2",33.8078382775745,1.15315155542188,0.641492023128078,0.0146409593412238,0.0978732736002733
"GNS",177.724612058831,-0.569784594389091,0.436318898301833,0.139896302912889,0.333404886082593
"GOLGA1",39.9896361057287,-0.58568811276379,0.576458300313267,0.198190891100431,0.404850401903846
"GOLGA2",124.626527466415,-0.755572808062056,0.509348066867129,0.0772390497844357,0.237123836064566
"GOLGA2P5",0.258602249316216,0.0853483067589338,0.928542084559061,0.687633793188925,NA
"GOLGA2P7",1.224140696081,-0.0136704291264416,0.924522256167973,0.951583171750128,NA
"GOLGA3",188.980539649032,-0.378061098985243,0.420946687279154,0.314597601937815,0.52428212626823
"GOLGA4",281.485901412903,-0.402830451308926,0.383115287062084,0.249065171590945,0.462491597159157
"GOLGA4-AS1",1.04142185974253,0.002885503255384,0.92628349831985,0.989494168550434,NA
"GOLGA5",53.3269470256226,-0.545294322978592,0.549568872384325,0.220935281793435,0.432323076188105
"GOLGA6A",1.40862881957242,0.109353164744508,0.926697251249545,0.618305847237912,NA
"GOLGA6B",0.426552656256387,0.071551451384324,0.927595366261137,0.739657458422749,NA
"GOLGA6C",0.150224838849194,0.0222746773297844,0.92807590300592,0.916672530826729,NA
"GOLGA6L1",5.34812261784732,0.418169452232775,0.898699910611761,0.176042061628209,NA
"GOLGA6L10",7.85547341555163,-0.133229725286014,0.790194647085902,0.758819956890737,NA
"GOLGA6L2",5.5384784467108,0.390707661991197,0.848371478290427,0.309959351730347,NA
"GOLGA6L22",12.6132761148454,1.02019874176869,0.850084358492722,0.014303947176207,0.0964913648465135
"GOLGA6L23P",0.300449677698388,0.000883268118146089,0.927913942970949,0.996697580209145,NA
"GOLGA6L24",6.00728815245372,0.451594774936142,0.894698209682937,0.156810205657975,NA
"GOLGA6L25",15.1818876465352,1.16266128995173,0.751253909849223,0.0134226845588635,0.0930911898187784
"GOLGA6L26",3.19507437634276,0.0953342608824412,0.895762436088715,0.752176417356414,NA
"GOLGA6L3P",0.790046740413299,0.118426087028525,0.927832189761497,0.583217104331365,NA
"GOLGA6L4",2.77710792903314,-0.274928241955966,0.894267711567237,0.375375347828087,NA
"GOLGA6L5P",13.4256559236995,0.216729955225683,0.71500759703708,0.641856011357024,0.774761877358489
"GOLGA6L6",5.0958162193443,0.710786832574929,0.863159846983934,0.0631086296730747,NA
"GOLGA6L7",2.99427736175041,0.531919307380808,0.910060897793833,0.0714616675583294,NA
"GOLGA6L9",18.0658238801738,0.00638836007683285,0.716888778652164,0.9890445940737,0.994349762659511
"GOLGA6L9-AS1",0.33267196051446,0.00150661929662952,0.927909637867667,0.994367398106321,NA
"GOLGA7",50.2460451609906,-0.792537623071596,0.563350365938603,0.0787907822003028,0.240089990955948
"GOLGA7B",12.2332148086778,0.841664038585125,0.746553832751056,0.0697372127758685,0.223760171507767
"GOLGA8A",163.990560352183,-0.791535971324001,0.441193865762184,0.0418907951662969,0.169474591264306
"GOLGA8B",168.716642217771,-0.722033778136992,0.429329246693972,0.0583602107105196,0.202047160570443
"GOLGA8H",5.08993134144633,-0.411863563357516,0.847024400010419,0.287260883105665,NA
"GOLGA8IP",20.8323171650664,1.2698247429214,0.721161420560138,0.00778866234200615,0.0726696429099465
"GOLGA8J",0.316560819106424,-0.0357039090537194,0.927485872717483,0.868179551705881,NA
"GOLGA8K",2.04229125037893,-0.126679415303462,0.911398553090005,0.633574376130051,NA
"GOLGA8M",0,0,0.955729788552937,NA,NA
"GOLGA8N",16.1702691566115,0.0558495599095953,0.69272412694059,0.905238233034802,0.944690613951256
"GOLGA8O",5.18565182676882,0.25792116643238,0.857291559631189,0.485849373948389,NA
"GOLGA8Q",0.243062826364769,0.0337347183792048,0.927756617759252,0.874821705275108,NA
"GOLGA8R",6.5689127877427,-0.183095609997617,0.821968464972835,0.654231594434097,NA
"GOLGA8T",0.582175930900304,-0.00746320598011798,0.927596802352455,0.972249832411531,NA
"GOLGB1",205.309379831086,-0.273914999420957,0.403552391865818,0.451842923239025,0.640291333028511
"GOLIM4",57.479367702509,-0.276260908346009,0.586859401868659,0.546470037530675,0.707677264799431
"GOLM1",20.3306827695734,0.408215475522464,0.827465184814608,0.316324237157536,0.525385639886892
"GOLM2",195.617332450755,-0.21958156972253,0.409494172866114,0.550928601744302,0.711087849200478
"GOLM2P1",0.300449677698388,0.000883268118146089,0.927913942970949,0.996697580209145,NA
"GOLPH3",115.985639523912,-0.602282747891183,0.44993863075087,0.12687791115316,0.315585625809648
"GOLPH3-DT",13.350189085103,0.74320947520032,0.742426377099796,0.108884978083671,0.289130762040514
"GOLPH3L",49.9795849393976,0.500889067045947,0.530980946744116,0.252465411488139,0.466553159628508
"GOLT1B",66.1665784359826,-0.580958762435056,0.531136145169616,0.184496924328424,0.390269915040828
"GON4L",80.289585645823,-0.347110978105145,0.472935111677098,0.395147039420643,0.593943986671552
"GON7",10.850174060983,-0.593463714687076,0.75860205377687,0.19283954193751,0.399129871046787
"GOPC",86.7145952186833,-0.551507454253726,0.483517146593341,0.182952641531038,0.388801983798674
"GORAB",34.7089291417641,-0.370993237611402,0.585452284365946,0.417675219780728,0.612025430904823
"GORAB-AS1",1.03173793639763,0.0706439779291437,0.924252356267571,0.755343306971153,NA
"GORASP1",50.5886552318566,-0.358652111975469,0.536069607992985,0.414860695084738,0.610135311096515
"GORASP2",97.9392389009207,-0.563639934923997,0.476008631690699,0.169162234225797,0.373013432938403
"GOSR1",58.9246588554537,-0.496350328375097,0.5234726447214,0.253104080541379,0.467295775632943
"GOSR2",75.3628212826441,-0.168347281129974,0.48648358726821,0.685529656945296,0.806182005431578
"GOT1",29.9982834223609,-1.06680945459623,0.648354462799644,0.0240612579863585,0.125625898097324
"GOT1-DT",12.4469548262401,0.279919088010749,0.728617639212873,0.54543757564076,0.707064674996455
"GOT2",68.8596397215792,-1.14948348857868,0.520498527452694,0.00793750904893351,0.0735946753209508
"GOT2P3",0,0,0.955729788552937,NA,NA
"GOT2P6",0.0751124194245971,0.0426069009886809,0.928358950453198,0.840779295493633,NA
"GP1BA",0.196643832606981,-0.00268342816926563,0.928050439140839,0.989944251690887,NA
"GP1BB",1.70172322562607,-0.107612111618353,0.923221781682352,0.641284437182549,NA
"GP5",1.75794188383223,0.219142387519994,0.911549463290605,0.414733697070233,NA
"GP6",1.24019439032515,0.141890046514186,0.920812904127107,0.553782636356651,NA
"GP6-AS1",2.19731785556322,0.0360720275069034,0.891126779832053,0.907628565921925,NA
"GP9",0,0,0.955729788552937,NA,NA
"GPA33",0.121531413182384,0.038756955476517,0.928502389435498,0.854614620038323,NA
"GPAA1",54.8491058102444,-0.265145303562516,0.52428843038621,0.541840386502835,0.705506858119321
"GPAA1P2",0,0,0.955729788552937,NA,NA
"GPALPP1",103.361106225972,0.80411178043216,0.483639323942379,0.0522010774633593,0.190567394970405
"GPAM",62.8028021247665,-0.615311562561404,0.583923263117706,0.178685741762949,0.383282598621466
"GPANK1",53.4709705587913,0.278028000586236,0.521918792524739,0.521344983562233,0.69239888524585
"GPAT2",22.4534421881006,-1.08678783536968,0.730351734213578,0.0214210011523585,0.118838802571365
"GPAT3",23.2789371689547,0.888489372981271,0.675649794595392,0.0606704429068069,0.206242597018031
"GPAT4",134.578328559072,-0.110141245190978,0.451596331314863,0.780690003293676,0.869671748327525
"GPAT4-AS1",0.820383316344995,0.100577894746637,0.927432768464972,0.642466852708426,NA
"GPATCH1",18.1952303227013,-0.392104192154955,0.689992995618155,0.404295252470871,0.600961627719823
"GPATCH11",61.7521908537749,-0.41360812262443,0.506162598773639,0.331594639436016,0.539551849025175
"GPATCH2",45.0609877453683,0.355826280156105,0.552138006614991,0.425394650518688,0.619029320368725
"GPATCH2L",150.586258452499,-0.157630214849396,0.416216838942826,0.672406556137949,0.796060116473543
"GPATCH3",25.1204172694633,-0.407261844302529,0.631747232316011,0.384237809638088,0.584248228312915
"GPATCH4",79.1439608182436,-0.408132710623377,0.479818872571879,0.321979666044426,0.530671517711467
"GPATCH8",137.706560304915,-0.604210548230464,0.429940817499551,0.113579867108703,0.296557413556438
"GPBAR1",0.334257663615457,0.134708968790014,0.929180806631254,0.524503129351399,NA
"GPBP1",245.321519041754,-0.509380920943791,0.413529443861047,0.169672608138723,0.373541312904549
"GPBP1L1",170.518115012885,-0.200256794764725,0.418509944167996,0.592664680816326,0.742150512695631
"GPC1",17.2825020779785,-0.948432290585156,0.82636540637708,0.0272385245616336,0.13354994476295
"GPC1-AS1",0.517747493507076,0.177392843454356,0.929198320885648,0.406437335179859,NA
"GPC2",4.31775243425098,-0.0260599630432771,0.83333351608412,0.947581207501568,NA
"GPC3",7.60929880753936,0.526601530062586,0.800412197110027,0.222931871456679,NA
"GPC3-AS1",9.94962805648905,0.992639081301899,0.773494023197436,0.0305181979750505,0.142140098388769
"GPC4",3.84748453605364,0.307538318861489,0.867096336710152,0.38992980441328,NA
"GPC5",0.407784379939057,-0.0380914820939389,0.927512565223454,0.859409545145783,NA
"GPC6",1.78489121575468,-0.112419912649227,0.92202473169358,0.632259000219608,NA
"GPCPD1",198.599621323602,-0.110205372191946,0.441222208864222,0.777022387232797,0.867324651352685
"GPD1",0.0751124194245971,0.0426069009886809,0.928358950453198,0.840779295493633,NA
"GPD1L",22.8730177925889,-0.353569553279593,0.666886502997237,0.452650832488501,0.640826166617959
"GPD2",70.2797074339501,-0.663518606721196,0.511570918286297,0.121684700074904,0.308577728037182
"GPER1",0.241448399681827,-0.0173649534127214,0.927622022315441,0.93547428548133,NA
"GPHA2",0.183489829891619,0.130946795494424,0.928911419489676,0.537710364375982,NA
"GPHN",12.1817252369885,-0.342494609011875,0.754049153540585,0.451333957548246,0.639900323580379
"GPI",223.724621796749,-0.455764059817683,0.457426979056494,0.253485447919671,0.467694357938612
"GPKOW",25.3684857859779,-0.27516897624554,0.639714585978433,0.557295828427563,0.716184632140855
"GPLD1",18.0826685217525,0.615140405816327,0.680429947161678,0.192257697079879,0.398426832842795
"GPM6A",12.5361661537228,-0.204278223806389,0.756396699138647,0.651918090805324,0.782058751563998
"GPM6B",9.14384104772983,0.75175636851672,0.796192711050401,0.0880401579433081,0.255710203740008
"GPN1",46.0214814998251,-0.598949497106513,0.569273066572943,0.185910010203117,0.39174178469867
"GPN2",70.7114719786149,-0.465460902889336,0.500448282231948,0.271299155402185,0.484925952926141
"GPN3",38.6535866800635,-0.723485878583755,0.588635693409852,0.115047190810211,0.298598379373672
